iter	Passed	Remaining
0	2	209
1	7	355
2	9	297
3	11	264
4	12	244
5	14	234
6	17	226
7	19	221
8	21	216
9	23	212
10	25	209
11	27	204
12	29	199
13	31	194
14	34	198
15	36	194
16	38	189
17	40	185
18	42	181
19	44	178
20	46	175
21	48	173
22	51	171
23	53	169
24	55	166
25	57	162
26	59	159
27	60	156
28	63	154
29	65	151
30	67	149
31	68	146
32	70	143
33	72	141
34	74	138
35	76	136
36	78	134
37	81	132
38	83	130
39	85	127
40	87	125
41	89	123
42	91	120
43	92	117
44	95	116
45	97	114
46	99	112
47	101	110
48	103	107
49	105	105
50	107	103
51	110	101
52	112	99
53	114	97
54	117	96
55	121	95
56	127	96
57	133	96
58	135	94
59	137	91
60	140	90
61	143	88
62	146	85
63	148	83
64	150	81
65	152	78
66	156	76
67	158	74
68	160	71
69	162	69
70	164	66
71	165	64
72	167	62
73	170	59
74	172	57
75	174	55
76	176	52
77	178	50
78	179	47
79	181	45
80	183	43
81	185	40
82	187	38
83	189	36
84	191	33
85	193	31
86	194	29
87	197	26
88	199	24
89	202	22
90	204	20
91	206	17
92	208	15
93	210	13
94	212	11
95	214	8
96	216	6
97	218	4
98	220	2
99	222	0
